Barcode,Nama Produk,Kategori,Harga Modal,Harga Jual,Stok,Satuan
8998866200224,Indomie Mi Goreng Spesial 85g,Mie Instan & Cepat Saji,2700,3500,0,Bungkus
8998866200279,Indomie Kuah Rasa Soto Mie 70g,Mie Instan & Cepat Saji,2700,3500,0,Bungkus
8998866200583,Indomie Kuah Rasa Ayam Bawang 69g,Mie Instan & Cepat Saji,2700,3500,0,Bungkus
8998866200057,Indomie Kuah Rasa Kari Ayam 72g,Mie Instan & Cepat Saji,2800,3500,0,Bungkus
8998866200507,Indomie Goreng Rasa Rendang 91g,Mie Instan & Cepat Saji,2800,3500,0,Bungkus
8992775111158,Mie Sedaap Goreng Krispi 90g,Mie Instan & Cepat Saji,2700,3500,0,Bungkus
8992775111226,Mie Sedaap Kuah Rasa Soto 75g,Mie Instan & Cepat Saji,2700,3500,0,Bungkus
8992775111332,Mie Sedaap Kuah Ayam Bawang 70g,Mie Instan & Cepat Saji,2700,3500,0,Bungkus
8998866600024,Pop Mie Rasa Ayam Spesial 75g,Mie Instan & Cepat Saji,4500,5800,0,Cup
8998866600017,Pop Mie Rasa Baso Spesial 75g,Mie Instan & Cepat Saji,4500,5800,0,Cup
8992745110051,Aqua Air Mineral Botol 330ml,Minuman Segar & Kopi,2200,3000,0,Botol
8992745110013,Aqua Air Mineral Botol 600ml,Minuman Segar & Kopi,3200,4500,0,Botol
8992745110020,Aqua Air Mineral Botol 1500ml,Minuman Segar & Kopi,5500,7500,0,Botol
8997009510101,Le Minerale Air Mineral 600ml,Minuman Segar & Kopi,3000,4000,0,Botol
8997009510118,Le Minerale Air Mineral 1500ml,Minuman Segar & Kopi,5200,7000,0,Botol
